59482.47
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    10.61      0.00        2     0.00     0.00  Array#shift
  0.00    10.61      0.00        8     0.00     0.00  Regexp#===
  0.00    10.61      0.00        2     0.00     0.00  Gem::Platform#initialize
  0.00    10.61      0.00        2     0.00     0.00  Gem::Platform#new
  0.00    10.61      0.00        3     0.00     0.00  Gem::Platform#to_a
  0.00    10.61      0.00        3     0.00     0.00  Gem::Platform#to_s
  0.00    10.61      0.00        2     0.00     0.00  Gem::Platform#==
  0.00    10.61      0.00        2     0.00     0.00  String#to_str
  0.00    10.61      0.00        1     0.00  1470.00  Array#reverse_each
  0.00    10.61      0.00        1     0.00  1470.00  Gem::SourceIndex#load_gems_in
  0.00    10.61      0.00        1     0.00  1470.00  Gem::SourceIndex#refresh!
  0.00    10.61      0.00        1     0.00  1470.00  Gem::SourceIndex#from_gems_in
  0.00    10.61      0.00        1     0.00  1470.00  Gem::SourceIndex#from_installed_gems
  0.00    10.61      0.00        2     0.00   745.00  Gem.source_index
  0.00    10.61      0.00        1     0.00     0.00  Gem::SourceIndex#each
  0.00    10.61      0.00        1     0.00     0.00  Enumerable.map
  0.00    10.61      0.00      945     0.00     0.00  String#<=>
  0.00    10.61      0.00      945     0.00     0.00  Fixnum#zero?
  0.00    10.61      0.00        1     0.00    10.00  Enumerable.each_with_index
  0.00    10.61      0.00       31     0.00     0.00  Module#define_method
  0.00    10.61      0.00        1     0.00  1540.00  Gem::GemPathSearcher#init_gemspecs
  0.00    10.61      0.00      270     0.00     0.00  File#dirname
  0.00    10.61      0.00      135     0.00     0.00  File#expand_path
  0.00    10.61      0.00        7     0.00     0.00  String#+
  0.00    10.61      0.00      135     0.00     0.00  File#directory?
  0.00    10.61      0.00      135     0.00     0.15  Gem::Specification#full_gem_path
  0.00    10.61      0.00        8     0.00     0.00  Date#once
  0.00    10.61      0.00        1     0.00  1580.00  Gem::GemPathSearcher#initialize
  0.00    10.61      0.00        1     0.00  1580.00  Gem.searcher
  0.00    10.61      0.00       66     0.00     0.00  Module#module_eval
  0.00    10.61      0.00      385     0.00     0.00  Symbol#to_s
  0.00    10.61      0.00        1     0.00     0.00  Array#uniq
  0.00    10.61      0.00        1     0.00     0.00  Gem.suffixes
  0.00    10.61      0.00       85     0.00     0.00  Gem.suffix_pattern
  0.00    10.61      0.00       85     0.00     0.00  Dir#[]
  0.00    10.61      0.00       88     0.00     0.00  Array#select
  0.00    10.61      0.00       85     0.00     0.24  Gem::GemPathSearcher#matching_files
  0.00    10.61      0.00      123     0.00     0.00  BasicObject#!
  0.00    10.61      0.00       85     0.00     0.24  Gem::GemPathSearcher#matching_file?
  0.00    10.61      0.00       24     0.00     0.83  Enumerable.find
  0.00    10.61      0.00        1     0.00    20.00  Gem::GemPathSearcher#find
  0.00    10.61      0.00       49     0.00     0.00  Kernel.is_a?
  0.00    10.61      0.00        1     0.00     0.00  Gem::Dependency#requirement
  0.00    10.61      0.00        1     0.00     0.00  Regexp#escape
  0.00    10.61      0.00        1     0.00     0.00  Gem::SourceIndex#all_gems
  0.00    10.61      0.00        2     0.00     0.00  Hash#values
  0.00    10.61      0.00        1     0.00     0.00  Comparable.==
  0.00    10.61      0.00        1     0.00     0.00  Proc#call
  0.00    10.61      0.00        1     0.00     0.00  Enumerable.all?
  0.00    10.61      0.00        1     0.00     0.00  Gem::Requirement#satisfied_by?
  0.00    10.61      0.00        2     0.00     0.00  Proc#yield
  0.00    10.61      0.00        2     0.00     0.00  Hash#default
  0.00    10.61      0.00        1     0.00     0.00  Gem::Platform#local
  0.00    10.61      0.00        1     0.00     0.00  Gem.platforms
  0.00    10.61      0.00        1     0.00     0.00  Enumerable.any?
  0.00    10.61      0.00        1     0.00     0.00  Gem::Platform#match
  0.00    10.61      0.00        1     0.00     0.00  Gem::Specification#sort_obj
  0.00    10.61      0.00        1     0.00     0.00  Enumerable.sort_by
  0.00    10.61      0.00        1     0.00     0.00  Gem::SourceIndex#search
  0.00    10.61      0.00        1     0.00     0.00  Gem::Specification#conflicts
  0.00    10.61      0.00        6     0.00     0.00  Gem::Dependency#type
  0.00    10.61      0.00        1     0.00     0.00  Gem::Specification#runtime_dependencies
  0.00    10.61      0.00       17     0.00     0.00  Hash#delete
